month_index,avg_oil_bbl,avg_gas_mcf,well_count,oil_pct_of_month1,gas_pct_of_month1,computed_at
1,446.9,588.3,500,100.0,100.0,2026-04-23T13:57:38.686487
2,396.4,563.3,499,88.7,95.8,2026-04-23T13:57:38.686487
3,556.6,834.7,499,124.5,141.9,2026-04-23T13:57:38.686487
4,1003.9,1536.2,499,224.6,261.1,2026-04-23T13:57:38.686487
5,1981.7,2621.0,499,443.4,445.5,2026-04-23T13:57:38.686487
6,4000.3,5314.2,499,895.1,903.3,2026-04-23T13:57:38.686487
7,6789.9,10227.2,500,1519.3,1738.4,2026-04-23T13:57:38.686487
8,9181.3,15731.8,500,2054.4,2674.1,2026-04-23T13:57:38.686487
9,10786.0,20498.5,500,2413.5,3484.4,2026-04-23T13:57:38.686487
10,12417.8,24898.9,500,2778.7,4232.3,2026-04-23T13:57:38.686487
11,13665.1,29074.9,500,3057.8,4942.2,2026-04-23T13:57:38.686487
12,14210.4,32612.7,500,3179.8,5543.5,2026-04-23T13:57:38.686487
13,14083.9,34932.3,500,3151.5,5937.8,2026-04-23T13:57:38.686487
14,13365.5,35583.0,500,2990.7,6048.4,2026-04-23T13:57:38.686487
15,12810.3,37688.1,500,2866.5,6406.3,2026-04-23T13:57:38.686487
16,12105.5,38992.9,500,2708.8,6628.1,2026-04-23T13:57:38.686487
17,11339.3,39416.5,500,2537.3,6700.1,2026-04-23T13:57:38.686487
18,10355.0,38569.7,499,2317.1,6556.1,2026-04-23T13:57:38.686487
19,9761.7,38914.2,499,2184.3,6614.7,2026-04-23T13:57:38.686487
20,9012.9,37648.1,498,2016.8,6399.5,2026-04-23T13:57:38.686487
21,8139.7,35607.0,499,1821.4,6052.5,2026-04-23T13:57:38.686487
22,7788.1,34749.1,499,1742.7,5906.7,2026-04-23T13:57:38.686487
23,7510.7,34301.5,499,1680.6,5830.6,2026-04-23T13:57:38.686487
24,7024.3,33261.3,499,1571.8,5653.8,2026-04-23T13:57:38.686487
25,6316.1,31668.3,499,1413.3,5383.0,2026-04-23T13:57:38.686487
26,5852.9,30086.8,496,1309.7,5114.2,2026-04-23T13:57:38.686487
27,5609.4,29235.8,498,1255.2,4969.5,2026-04-23T13:57:38.686487
28,5342.0,28750.9,497,1195.3,4887.1,2026-04-23T13:57:38.686487
29,5145.3,27907.5,496,1151.3,4743.8,2026-04-23T13:57:38.686487
30,4947.1,26931.1,495,1107.0,4577.8,2026-04-23T13:57:38.686487
31,4644.4,26342.1,495,1039.2,4477.7,2026-04-23T13:57:38.686487
32,4421.7,25467.3,492,989.4,4329.0,2026-04-23T13:57:38.686487
33,4236.8,24661.6,487,948.0,4192.0,2026-04-23T13:57:38.686487
34,4050.6,24034.3,488,906.4,4085.4,2026-04-23T13:57:38.686487
35,3943.1,23754.4,487,882.3,4037.8,2026-04-23T13:57:38.686487
36,3767.3,22810.3,487,843.0,3877.3,2026-04-23T13:57:38.686487
